Customer_ID,Customer_Name,Segment,City,State,Country,Postal_Code,Region
RH-19495,Rick Hansen,Consumer,New York City,New York,United States,10024,East
JR-16210,Justin Ritter,Corporate,Wollongong,New South Wales,Australia,,Oceania
CR-12730,Craig Reiter,Consumer,Brisbane,Queensland,Australia,,Oceania
KM-16375,Katherine Murray,Home Office,Berlin,Berlin,Germany,,Central
RH-9495,Rick Hansen,Consumer,Dakar,Dakar,Senegal,,Africa
JM-15655,Jim Mitchum,Corporate,Sydney,New South Wales,Australia,,Oceania
TS-21340,Toby Swindell,Consumer,Porirua,Wellington,New Zealand,,Oceania
MB-18085,Mick Brown,Consumer,Hamilton,Waikato,New Zealand,,Oceania
JW-15220,Jane Waco,Corporate,Sacramento,California,United States,95823,West
JH-15985,Joseph Holt,Consumer,Concord,North Carolina,United States,28027,South
GM-14695,Greg Maxwell,Corporate,Alexandria,Virginia,United States,22304,South
AJ-10780,Anthony Jacobs,Corporate,Kabul,Kabul,Afghanistan,,Central Asia
MM-7260,Magdelene Morse,Consumer,Jizan,Jizan,Saudi Arabia,,EMEA
VF-21715,Vicky Freymann,Home Office,Toledo,Parana,Brazil,,South
PF-19120,Peter Fuller,Consumer,Mudanjiang,Heilongjiang,China,,North Asia
BP-11185,Ben Peterman,Corporate,Paris,Ile-de-France,France,,Central
TB-21175,Thomas Boland,Corporate,Henderson,Kentucky,United States,42420,South
PJ-18835,Patrick Jones,Corporate,Prato,Tuscany,Italy,,South
JS-15685,Jim Sink,Corporate,Townsville,Queensland,Australia,,Oceania
RH-9555,Ritsa Hightower,Consumer,Uvinza,Kigoma,Tanzania,,Africa
AB-600,Ann Blume,Corporate,Bytom,Silesia,Poland,,EMEA
SA-20830,Sue Ann Reed,Consumer,Chicago,Illinois,United States,60610,Central
JK-15325,Jason Klamczynski,Corporate,Suzhou,Anhui,China,,North Asia
LB-16795,Laurel Beltran,Home Office,Edinburgh,Scotland,United Kingdom,,North
NP-18325,Naresj Patel,Consumer,Juárez,Chihuahua,Mexico,,North
VD-21670,Valerie Dominguez,Consumer,Soyapango,San Salvador,El Salvador,,Central
PB-19210,Phillip Breyer,Corporate,Taipei,Taipei City,Taiwan,,North Asia
EB-14110,Eugene Barchas,Consumer,Leipzig,Saxony,Germany,,Central
KF-16285,Karen Ferguson,Home Office,Los Angeles,California,United States,90008,West
BP-11230,Benjamin Patterson,Consumer,Surat,Gujarat,India,,Central Asia
RR-19525,Rick Reed,Corporate,Santo Domingo,Santo Domingo,Dominican Republic,,Caribbean
BS-11365,Bill Shonely,Corporate,Saint-Brieuc,Brittany,France,,Central
JE-15745,Joel Eaton,Consumer,Amarillo,Texas,United States,79109,Central
DP-13105,Dave Poirier,Corporate,Gold Coast,Queensland,Australia,,Oceania
NP-18700,Nora Preis,Consumer,Fresno,California,United States,93727,West
AH-30,Aaron Hawkins,Corporate,Kamina,Katanga,Democratic Republic of the Congo,,Africa
DM-13015,Darrin Martin,Consumer,New York City,New York,United States,10009,East
GT-14635,Grant Thornton,Corporate,Burlington,North Carolina,United States,27217,South
PO-18865,Patrick O'Donnell,Consumer,Stockton-on-Tees,England,United Kingdom,,North
DL-12865,Dan Lawera,Consumer,Brisbane,Queensland,Australia,,Oceania
JB-16000,Joy Bell-,Consumer,Mataram,Nusa Tenggara Barat,Indonesia,,Southeast Asia
BF-11005,Barry Franz,Home Office,Gorakhpur,Haryana,India,,Central Asia
VG-21805,Vivek Grady,Corporate,Thiruvananthapuram,Kerala,India,,Central Asia
GT-14710,Greg Tran,Consumer,Huddersfield,England,United Kingdom,,North
ZC-21910,Zuschuss Carroll,Consumer,Berlin,Berlin,Germany,,Central
SC-20095,Sanjit Chand,Consumer,Minneapolis,Minnesota,United States,55407,Central
EB-13840,Ellis Ballard,Corporate,Montreuil,Ile-de-France,France,,Central
AP-10915,Arthur Prichep,Consumer,Shouguang,Shandong,China,,North Asia
SW-20275,Scott Williamson,Consumer,Jamshedpur,Jharkhand,India,,Central Asia
JH-15820,John Huston,Consumer,Paysandú,Paysandú,Uruguay,,South
LC-16885,Lena Creighton,Consumer,New York City,New York,United States,10009,East
TG-11640,Trudy Glocke,Consumer,Behshahr,Mazandaran,Iran,,EMEA
HR-14830,Harold Ryan,Corporate,Huntington Beach,California,United States,92646,West
DG-3300,Deirdre Greer,Corporate,Maputo,Cidade De Maputo,Mozambique,,Africa
SG-20470,Sheri Gordon,Consumer,Bhopal,Madhya Pradesh,India,,Central Asia
FH-14365,Fred Hopkins,Corporate,Seattle,Washington,United States,98115,West
GP-14740,Guy Phonely,Corporate,Delhi,Delhi,India,,Central Asia
MW-18220,Mitch Webber,Consumer,Geraldton,Western Australia,Australia,,Oceania
PO-18850,Patrick O'Brill,Consumer,Tallahassee,Florida,United States,32303,South
CS-12460,Chuck Sachs,Consumer,Dhaka,Dhaka,Bangladesh,,Central Asia
KD-16495,Keith Dawkins,Corporate,New York City,New York,United States,10024,East
MS-17980,Michael Stewart,Corporate,Munster,Lower Saxony,Germany,,Central
KC-16675,Kimberly Carter,Corporate,Celle,Lower Saxony,Germany,,Central
DB-13405,Denny Blanton,Consumer,Wuxi,Jiangsu,China,,North Asia
JD-15895,Jonathan Doherty,Corporate,Richmond,Virginia,United States,23223,South
DK-13090,Dave Kipp,Consumer,Seville,Andalusía,Spain,,South
CS-11845,Cari Sayre,Corporate,Raipur,Uttarakhand,India,,Central Asia
EM-14200,Evan Minnotte,Home Office,Gómez Palacio,Durango,Mexico,,North
DW-3480,Dianna Wilson,Home Office,Kharkiv,Kharkiv,Ukraine,,EMEA
AS-10225,Alan Schoenberger,Corporate,Jinan,Shandong,China,,North Asia
ST-20530,Shui Tom,Consumer,Chinandega,Chinandega,Nicaragua,,Central
BW-1065,Barry Weirich,Consumer,Kananga,Kasai-Occidental,Democratic Republic of the Congo,,Africa
LA-16780,Laura Armstrong,Corporate,Palembang,Sumatera Selatan,Indonesia,,Southeast Asia
AB-10150,Aimee Bixby,Consumer,London,England,United Kingdom,,North
CM-12385,Christopher Martinez,Consumer,Atlanta,Georgia,United States,30318,South
BE-11410,Bobby Elias,Consumer,Duisburg,North Rhine-Westphalia,Germany,,Central
SZ-20035,Sam Zeldin,Home Office,Nanchong,Sichuan,China,,North Asia
RM-19375,Raymond Messe,Consumer,Naihati,West Bengal,India,,Central Asia
HG-14845,Harry Greene,Consumer,Lille,Nord-Pas-de-Calais,France,,Central
DP-3105,Dave Poirier,Corporate,Meknes,Meknès-Tafilalet,Morocco,,Africa
AR-10540,Andy Reiter,Consumer,Jackson,Michigan,United States,49201,Central
TP-21415,Tom Prescott,Consumer,Philadelphia,Pennsylvania,United States,19134,East
AM-10705,Anne McFarland,Consumer,Bandung,Jawa Barat,Indonesia,,Southeast Asia
AB-255,Alejandro Ballentine,Home Office,Casablanca,Grand Casablanca,Morocco,,Africa
RP-19270,Rachel Payne,Corporate,Sydney,New South Wales,Australia,,Oceania
BK-11260,Berenike Kampe,Consumer,Tongi,Dhaka,Bangladesh,,Central Asia
JM-15250,Janet Martin,Consumer,Suzhou,Anhui,China,,North Asia
LW-16990,Lindsay Williams,Corporate,Henderson,Nevada,United States,89015,West
NZ-18565,Nick Zandusky,Home Office,Paris,Ile-de-France,France,,Central
SV-10815,Stuart Van,Corporate,Montréal,Quebec,Canada,,Canada
SC-20695,Steve Chapman,Corporate,Manila,National Capital,Philippines,,Southeast Asia
NC-18625,Noah Childs,Corporate,Newcastle,New South Wales,Australia,,Oceania
NF-18385,Natalie Fritzler,Consumer,Graz,Styria,Austria,,Central
PM-18940,Paul MacIntyre,Consumer,Boulogne-Billancourt,Ile-de-France,France,,Central
MZ-17335,Maria Zettner,Home Office,Malakoff,Ile-de-France,France,,Central
HM-4980,Henry MacAllister,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,,Africa
RW-19540,Rick Wilson,Corporate,Perth,Western Australia,Australia,,Oceania
LH-17155,Logan Haushalter,Consumer,Le Bouscat,Aquitaine,France,,Central
KM-16660,Khloe Miller,Consumer,Augsburg,Bavaria,Germany,,Central
AB-10060,Adam Bellavance,Home Office,Seattle,Washington,United States,98105,West
DB-13060,Dave Brooks,Consumer,Gold Coast,Queensland,Australia,,Oceania
VM-21685,Valerie Mitchum,Home Office,Bergen op Zoom,North Brabant,Netherlands,,Central
DM-13525,Don Miller,Corporate,Hanover,Lower Saxony,Germany,,Central
NM-18520,Neoma Murray,Consumer,Vigo,Galicia,Spain,,South
RO-19780,Rose O'Brian,Consumer,Gaoyou,Jiangsu,China,,North Asia
SB-20185,Sarah Brown,Consumer,Los Angeles,California,United States,90045,West
EM-14065,Erin Mull,Consumer,Bremen,Bremen,Germany,,Central
RS-19765,Roland Schwarz,Corporate,Los Angeles,California,United States,90008,West
ON-18715,Odella Nelson,Corporate,Muret,Midi-Pyrénées,France,,Central
VS-21820,Vivek Sundaresam,Consumer,Zigong,Sichuan,China,,North Asia
CM-12115,Chad McGuire,Consumer,Adelaide,South Australia,Australia,,Oceania
TB-21400,Tom Boeckenhauer,Consumer,New York City,New York,United States,10024,East
AB-10105,Adrian Barton,Consumer,Detroit,Michigan,United States,48205,Central
DW-13540,Don Weiss,Consumer,Kuantan,Pahang,Malaysia,,Southeast Asia
PS-19045,Penelope Sewall,Home Office,Harrisonburg,Virginia,United States,22801,South
CC-12370,Christopher Conant,Consumer,Philadelphia,Pennsylvania,United States,19120,East
TC-21295,Toby Carlisle,Consumer,Everett,Massachusetts,United States,2149,East
GM-14440,Gary McGarr,Consumer,Quito,Pichincha,Ecuador,,South
SV-20815,Stuart Van,Corporate,Vadodara,Gujarat,India,,Central Asia
MM-17920,Michael Moore,Consumer,Sanya,Hainan,China,,North Asia
JK-16120,Julie Kriz,Home Office,Palembang,Sumatera Selatan,Indonesia,,Southeast Asia
DJ-13510,Don Jones,Corporate,San Diego,California,United States,92037,West
AT-10435,Alyssa Tate,Home Office,Guaymas,Sonora,Mexico,,North
AB-10015,Aaron Bergman,Consumer,Wuhan,Hubei,China,,North Asia
RP-19390,Resi Pölking,Consumer,Madison,Wisconsin,United States,53711,Central
MJ-17740,Max Jones,Consumer,San Diego,California,United States,92037,West
PV-18985,Paul Van Hugh,Home Office,Salto,São Paulo,Brazil,,South
SB-20290,Sean Braxton,Corporate,Treviso,Veneto,Italy,,South
SM-10005,Sally Matthias,Consumer,Hargeysa,Woqooyi Galbeed,Somalia,,Africa
KH-16330,Katharine Harms,Corporate,Yogyakarta,Yogyakarta,Indonesia,,Southeast Asia
MP-18175,Mike Pelletier,Home Office,Perth,Western Australia,Australia,,Oceania
LH-17020,Lisa Hazard,Consumer,Anshan,Liaoning,China,,North Asia
ND-18370,Natalie DeCherney,Consumer,New York City,New York,United States,10035,East
CR-12625,Corey Roper,Home Office,Brisbane,Queensland,Australia,,Oceania
GM-14680,Greg Matthias,Consumer,Amsterdam,North Holland,Netherlands,,Central
RA-19945,Ryan Akin,Consumer,Le Petit-Quevilly,Upper Normandy,France,,Central
BW-11110,Bart Watters,Corporate,Detroit,Michigan,United States,48205,Central
RF-19735,Roland Fjeld,Consumer,Perth,Western Australia,Australia,,Oceania
AG-10675,Anna Gayman,Consumer,Houston,Texas,United States,77036,Central
DM-12955,Dario Medina,Corporate,Mixco,Guatemala,Guatemala,,Central
KD-16270,Karen Daniels,Consumer,Yonkers,New York,United States,10701,East
BE-11335,Bill Eplett,Home Office,Morelia,Michoacán,Mexico,,North
SO-20335,Sean O'Donnell,Consumer,Changchun,Jilin,China,,North Asia
DK-12835,Damala Kotsonis,Corporate,Madrid,Madrid,Spain,,South
LC-7050,Liz Carlisle,Consumer,Jeddah,Makkah,Saudi Arabia,,EMEA
CG-12520,Claire Gute,Consumer,Adelaide,South Australia,Australia,,Oceania
TB-21280,Toby Braunhardt,Consumer,Norman,Oklahoma,United States,73071,Central
HG-15025,Hunter Glantz,Consumer,Medan,Sumatera Utara,Indonesia,,Southeast Asia
AD-10180,Alan Dominguez,Home Office,Jakarta,Jakarta,Indonesia,,Southeast Asia
BP-11155,Becky Pak,Consumer,London,England,United Kingdom,,North
AA-10480,Andrew Allen,Consumer,Bangkok,Bangkok,Thailand,,Southeast Asia
RL-19615,Rob Lucas,Consumer,Newcastle,New South Wales,Australia,,Oceania
CS-12505,Cindy Stewart,Consumer,Lancaster,Ohio,United States,43130,East
SW-20245,Scot Wooten,Consumer,Surakarta,Jawa Tengah,Indonesia,,Southeast Asia
TA-21385,Tom Ashbrook,Home Office,New York City,New York,United States,10024,East
YC-21895,Yoseph Carroll,Corporate,London,England,United Kingdom,,North
JM-15580,Jill Matthias,Consumer,Tulancingo,Hidalgo,Mexico,,North
MZ-7335,Maria Zettner,Home Office,Brest,Brest,Belarus,,EMEA
JF-15295,Jason Fortune-,Consumer,Valencia,Valenciana,Spain,,South
JL-15835,John Lee,Consumer,Charlotte,North Carolina,United States,28205,South
DJ-3510,Don Jones,Corporate,Zhytomyr,Zhytomyr,Ukraine,,EMEA
MF-18250,Monica Federle,Corporate,Argenteuil,Ile-de-France,France,,Central
JE-15610,Jim Epp,Corporate,Atlanta,Georgia,United States,30318,South
CP-12340,Christine Phan,Corporate,Aurangabad,Bihar,India,,Central Asia
EH-14125,Eugene Hildebrand,Home Office,Plaisir,Ile-de-France,France,,Central
NC-18340,Nat Carroll,Consumer,Melbourne,Victoria,Australia,,Oceania
JS-16030,Joy Smith,Consumer,Medan,Sumatera Utara,Indonesia,,Southeast Asia
AM-10360,Alice McCarthy,Corporate,Harrogate,England,United Kingdom,,North
JF-15190,Jamie Frazer,Consumer,Phnom Penh,Phnom Penh,Cambodia,,Southeast Asia
JG-15160,James Galang,Consumer,Stockton-on-Tees,England,United Kingdom,,North
DP-13390,Dennis Pardue,Home Office,North Las Vegas,Nevada,United States,89031,West
AG-10330,Alex Grayson,Consumer,Jambi,Jambi,Indonesia,,Southeast Asia
GK-14620,Grace Kelly,Corporate,Los Angeles,California,United States,90049,West
NF-18475,Neil Französisch,Home Office,Moers,North Rhine-Westphalia,Germany,,Central
DR-12940,Daniel Raglin,Home Office,Townsville,Queensland,Australia,,Oceania
NB-18655,Nona Balk,Corporate,Hamburg,Hamburg,Germany,,Central
NM-18445,Nathan Mautz,Home Office,Shenzhen,Guangdong,China,,North Asia
NP-18670,Nora Paige,Consumer,Lakewood,New Jersey,United States,8701,East
SC-20380,Shahid Collister,Consumer,Marikina,National Capital,Philippines,,Southeast Asia
PA-9060,Pete Armstrong,Home Office,Johannesburg,Gauteng,South Africa,,Africa
RB-19570,Rob Beeghly,Consumer,Barakaldo,Basque Country,Spain,,South
SR-20740,Steven Roelle,Home Office,New York City,New York,United States,10024,East
RH-19510,Rick Huthwaite,Home Office,Providence,Rhode Island,United States,2908,East
LH-16750,Larry Hughes,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,,Caribbean
KB-16585,Ken Black,Corporate,Qingdao,Shandong,China,,North Asia
EM-13810,Eleni McCrary,Corporate,San Francisco,California,United States,94122,West
MZ-7515,Mary Zewe,Corporate,Shiraz,Fars,Iran,,EMEA
DM-13345,Denise Monton,Corporate,Bokaro,Jharkhand,India,,Central Asia
CA-11965,Carol Adams,Corporate,Fuji,Shizuoka,Japan,,North Asia
SC-20305,Sean Christensen,Consumer,Benidorm,Valenciana,Spain,,South
MH-18115,Mick Hernandez,Home Office,Kozhikode,Kerala,India,,Central Asia
KS-16300,Karen Seio,Corporate,Adelaide,South Australia,Australia,,Oceania
BG-11740,Bruce Geld,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,,Southeast Asia
CR-2625,Corey Roper,Home Office,Astrakhan',Astrakhan',Russia,,EMEA
CB-12415,Christy Brittain,Consumer,Columbus,Ohio,United States,43229,East
AP-10720,Anne Pryor,Home Office,Jabalpur,Madhya Pradesh,India,,Central Asia
CR-12820,Cyra Reiten,Home Office,Patna,Bihar,India,,Central Asia
BF-11080,Bart Folk,Consumer,Adelaide,South Australia,Australia,,Oceania
JM-15265,Janet Molinari,Corporate,Marikina,National Capital,Philippines,,Southeast Asia
TW-21025,Tamara Willingham,Home Office,La Baule-Escoublac,Pays de la Loire,France,,Central
